(29, 13)
0.998 (+/-0.007) for {'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.999 (+/-0.005) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.999 (+/-0.005) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}

{'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}

             precision    recall  f1-score   support

         13       1.00      1.00      1.00       720
         29       1.00      1.00      1.00        90

avg / total       1.00      1.00      1.00       810


(7, 15)
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.989 (+/-0.018) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.017) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.015) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.943 (+/-0.056) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.012) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.700 (+/-0.011) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.759 (+/-0.037) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.973 (+/-0.032) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.936 (+/-0.062) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.989 (+/-0.016) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.989 (+/-0.015) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.989 (+/-0.018) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.990 (+/-0.015) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.943 (+/-0.056) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.990 (+/-0.012) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.989 (+/-0.016) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.987 (+/-0.015) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.989 (+/-0.015) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.700 (+/-0.011) for {'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.973 (+/-0.032) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.989 (+/-0.016) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.989 (+/-0.015) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.987 (+/-0.015) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.987 (+/-0.015) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.989 (+/-0.015) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.990 (+/-0.016) for {'C': 100, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}

{'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}

             precision    recall  f1-score   support

          7       1.00      1.00      1.00       450
         15       1.00      1.00      1.00       210

avg / total       1.00      1.00      1.00       660


(19, 1)
0.914 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.013) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.919 (+/-0.008) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.964 (+/-0.045) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.999 (+/-0.003) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.013) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 1, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.914 (+/-0.000) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.013) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 10, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.919 (+/-0.008) for {'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
1.000 (+/-0.000) for {'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
