(29, 13)
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.931 (+/-0.023) for {'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.993 (+/-0.013) for {'C': 1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 1, 'coef0': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 1, 'coef0': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 10, 'coef0': 0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 0, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 10, 'coef0': 0.1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 10, 'coef0': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 100, 'coef0': 0.1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 100, 'coef0': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}

{'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}

             precision    recall  f1-score   support

         13       1.00      1.00      1.00       720
         29       1.00      1.00      1.00        90

avg / total       1.00      1.00      1.00       810


(7, 15)
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.991 (+/-0.014) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.991 (+/-0.014) for {'C': 0.1, 'coef0': 0, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.991 (+/-0.014) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.991 (+/-0.014) for {'C': 0.1, 'coef0': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.991 (+/-0.015) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.991 (+/-0.014) for {'C': 0.1, 'coef0': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.970 (+/-0.032) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.990 (+/-0.014) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
0.988 (+/-0.017) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}
0.991 (+/-0.015) for {'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}
0.696 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}
